,emotion_str,country,tweet,name,alpha-3,country-code,Country,Users (in million),Source,Total Tweets,tweetpm,date
179,fun,Pakistan,48,Pakistan,PAK,586,Pakistan,2.6,google,8358.0,18.46153846153846,May
180,fun,Republic of the Philippines,96,Republic of the Philippines,PHL,608,Republic of the Philippines,7.15,Statista,11472.0,13.426573426573427,May
181,fun,Singapore,24,Singapore,SGP,702,Singapore,1.3,,3246.0,18.46153846153846,May
182,fun,South Africa,372,South Africa,ZAF,710,South Africa,8.5,Business Tech,27030.0,43.76470588235294,May
183,fun,Spain,24,Spain,ESP,724,Spain,8.4,Statista,4080.0,2.857142857142857,May
184,fun,Switzerland,12,Switzerland,CHE,756,Switzerland,0.8,Digital report switzerland,1902.0,15.0,May
185,fun,Thailand,12,Thailand,THA,764,Thailand,7.35,Statista,2736.0,1.6326530612244898,May
186,fun,The Netherlands,36,The Netherlands,NLD,528,The Netherlands,2.8,,2970.0,12.857142857142858,May
187,fun,Turkey,18,Turkey,TUR,792,Turkey,13.65,Statista,1134.0,1.3186813186813187,May
188,fun,Uganda,102,Uganda,UGA,800,,,,,,May
189,fun,United Arab Emirates,60,United Arab Emirates,ARE,784,United Arab Emirates,5.21,,4032.0,11.516314779270633,May
190,fun,United Kingdom,2010,United Kingdom,GBR,826,United Kingdom,17.75,Statista,139284.0,113.2394366197183,May
191,fun,United States,2982,United States,USA,840,United States,64.2,Statista,454626.0,46.44859813084112,May
192,hate,Australia,522,Australia,AUS,36,Australia,5.0,Statista,22578.0,104.4,May
193,hate,Belgium,60,Belgium,BEL,56,Belgium,1.0,,2268.0,60.0,May
194,hate,Brazil,84,Brazil,BRA,76,Brazil,14.35,Statista,1734.0,5.853658536585366,May
195,hate,Canada,846,Canada,CAN,124,Canada,8.15,Statista,38382.0,103.8036809815951,May
196,hate,China,24,China,CHN,156,China,2.0,NY Times,7482.0,12.0,May
197,hate,France,54,France,FRA,250,France,8.9,Statista,3192.0,6.067415730337078,May
198,hate,Germany,78,Germany,DEU,276,Germany,6.1,Statista,4140.0,12.78688524590164,May
199,hate,Ghana,72,Ghana,GHA,288,Ghana,2.0,,6312.0,36.0,May
200,hate,Hong Kong,18,Hong Kong,HKG,344,Hong Kong,1.5,,2994.0,12.0,May
201,hate,India,2664,India,IND,356,India,13.15,Statista,90480.0,202.58555133079847,May
202,hate,Indonesia,54,Indonesia,IDN,360,Indonesia,11.8,,3954.0,4.576271186440677,May
203,hate,Ireland,270,Ireland,IRL,372,Ireland,2.5,,12138.0,108.0,May
204,hate,Italy,66,Italy,ITA,380,Italy,2.5,,3822.0,26.4,May
205,hate,Japan,36,Japan,JPN,392,Japan,48.45,Statista,4314.0,0.7430340557275541,May
206,hate,Kenya,216,Kenya,KEN,404,Kenya,8.2,google,9228.0,26.34146341463415,May
207,hate,Kingdom of Saudi Arabia,36,Kingdom of Saudi Arabia,SAU,682,Kingdom of Saudi Arabia,15.0,Statista,1404.0,2.4,May
208,hate,Malaysia,84,Malaysia,MYS,458,Malaysia,3.9,Statista,6930.0,21.53846153846154,May
209,hate,Mexico,30,Mexico,MEX,484,Mexico,25.7,,1746.0,1.1673151750972763,May
210,hate,New Zealand,96,New Zealand,NZL,554,New Zealand,0.9,google,4464.0,106.66666666666666,May
211,hate,Nigeria,858,Nigeria,NGA,566,Nigeria,8.4,,38400.0,102.14285714285714,May
212,hate,Pakistan,270,Pakistan,PAK,586,Pakistan,2.6,google,8358.0,103.84615384615384,May
213,hate,Republic of Korea,24,Republic of Korea,KOR,410,Republic of Korea,6.05,Statista,1848.0,3.9669421487603307,May
214,hate,Republic of the Philippines,186,Republic of the Philippines,PHL,608,Republic of the Philippines,7.15,Statista,11472.0,26.013986013986013,May
215,hate,Singapore,42,Singapore,SGP,702,Singapore,1.3,,3246.0,32.30769230769231,May
216,hate,South Africa,918,South Africa,ZAF,710,South Africa,8.5,Business Tech,27030.0,108.0,May
217,hate,Spain,66,Spain,ESP,724,Spain,8.4,Statista,4080.0,7.857142857142857,May
218,hate,Sri Lanka,24,Sri Lanka,LKA,144,Sri Lanka,0.5,,1698.0,48.0,May
219,hate,Sweden,42,Sweden,SWE,752,Sweden,2.0,,1422.0,21.0,May
220,hate,Switzerland,42,Switzerland,CHE,756,Switzerland,0.8,Digital report switzerland,1902.0,52.5,May
221,hate,Thailand,42,Thailand,THA,764,Thailand,7.35,Statista,2736.0,5.714285714285714,May
222,hate,The Netherlands,42,The Netherlands,NLD,528,The Netherlands,2.8,,2970.0,15.000000000000002,May
223,hate,Turkey,6,Turkey,TUR,792,Turkey,13.65,Statista,1134.0,0.43956043956043955,May
224,hate,Uganda,162,Uganda,UGA,800,,,,,,May
225,hate,United Arab Emirates,96,United Arab Emirates,ARE,784,United Arab Emirates,5.21,,4032.0,18.426103646833013,May
226,hate,United Kingdom,4824,United Kingdom,GBR,826,United Kingdom,17.75,Statista,139284.0,271.77464788732397,May
227,hate,United States,15918,United States,USA,840,United States,64.2,Statista,454626.0,247.94392523364485,May
228,relief,Australia,234,Australia,AUS,36,Australia,5.0,Statista,22578.0,46.8,May
